,sales,date,region
0,1578.0,2020-10-13,north
1,1638.0,2020-10-13,south
2,1515.0,2020-10-13,east
3,1683.0,2020-10-13,west
4,1680.0,2020-10-14,north
5,1755.0,2020-10-14,south
6,1584.0,2020-10-14,east
7,1590.0,2020-10-14,west
8,1518.0,2020-10-15,north
9,1701.0,2020-10-15,south
10,1716.0,2020-10-15,east
11,1563.0,2020-10-15,west
12,1638.0,2020-10-16,north
13,1689.0,2020-10-16,south
14,1515.0,2020-10-16,east
15,1632.0,2020-10-16,west
16,1509.0,2020-10-17,north
17,1791.0,2020-10-17,south
18,1509.0,2020-10-17,east
19,1776.0,2020-10-17,west
20,1524.0,2020-10-18,north
21,1716.0,2020-10-18,south
22,1578.0,2020-10-18,east
23,1713.0,2020-10-18,west
24,1656.0,2020-10-19,north
25,1725.0,2020-10-19,south
26,1554.0,2020-10-19,east
27,1524.0,2020-10-19,west
28,1569.0,2020-10-20,north
29,1758.0,2020-10-20,south
30,1758.0,2020-10-20,east
31,1614.0,2020-10-20,west
32,1740.0,2020-10-21,north
33,1521.0,2020-10-21,south
34,1722.0,2020-10-21,east
35,1605.0,2020-10-21,west
36,1749.0,2020-10-22,north
37,1638.0,2020-10-22,south
38,1710.0,2020-10-22,east
39,1668.0,2020-10-22,west
40,1635.0,2020-10-23,north
41,1533.0,2020-10-23,south
42,1635.0,2020-10-23,east
43,1575.0,2020-10-23,west
44,1737.0,2020-10-24,north
45,1593.0,2020-10-24,south
46,1707.0,2020-10-24,east
47,1536.0,2020-10-24,west
48,1689.0,2020-10-25,north
49,1680.0,2020-10-25,south
50,1605.0,2020-10-25,east
51,1617.0,2020-10-25,west
52,1746.0,2020-10-26,north
53,1518.0,2020-10-26,south
54,1656.0,2020-10-26,east
55,1542.0,2020-10-26,west
56,1581.0,2020-10-27,north
57,1716.0,2020-10-27,south
58,1683.0,2020-10-27,east
59,1518.0,2020-10-27,west
60,1746.0,2020-10-28,north
61,1587.0,2020-10-28,south
